Id,Text_KO,Text_EN,Text_JP
GAME_START,게임 시작,START,ゲームスタート
GAME_PRESS_ENTER_TO_START,엔터를 눌러 시작하세요,Press Enter to Start,Enterキーを押してスタート
GAME_RESULT,결과,RESULT,リザルト
GAME_PRESS_ENTER_TWICE_TO_RETRY,엔터 두 번으로 다시하기,Press Enter Twice to Retry,Enterキーを2回押してリトライ
GAME_CONTINUE,계속하기,CONTINUE,つづける
GAME_CONFIG,설정,SETTINGS,設定
GAME_RETRY,다시하기,RETRY,リトライ
GAME_QUIT,게임 종료,QUIT GAME,ゲーム終了
GAME_CONFIRM_RETRY,게임을 다시 시작하겠습니까?,Restart the game?,ゲームをやり直しますか？
COMMON_YES,예,YES,はい
COMMON_NO,아니오,NO,いいえ
GAME_CONFIRM_QUIT,게임을 종료하시겠습니까?,Quit the game?,ゲームを終了しますか？
UI_START_GAME,게임 시작,Start Game,ゲーム開始
UI_CONTINUE,계속하기,Continue,続ける
UI_SETTINGS,설정,Settings,設定
UI_EXIT_GAME,게임 종료,Exit Game,ゲーム終了
UI_CONFIRM,확인,Confirm,確認
UI_CANCEL,취소,Cancel,キャンセル
UI_RETRY,재시도,Retry,リトライ
UI_BACK,뒤로,Back,戻る
UI_LOADING,로딩 중...,Loading...,ロード中...
UI_PAUSE,일시 정지,Paused,一時停止
CONFIG_SOUND,사운드 설정,Sound Settings,サウンド設定
CONFIG_LANGUAGE_SETTINGS,언어 설정,Language Settings,言語設定
CONFIG_LANGUAGE,언어,Language,言語
CONFIG_KEYBOARD_LAYOUT,키보드 레이아웃,Keyboard Layout,キーボードレイアウト
CONFIG_VOLUME_SETTINGS,볼륨 설정,Volume Settings,音量設定
CONFIG_SOUND_MASTER_VOLUME,마스터 볼륨,Master Volume,マスター音量
CONFIG_SOUND_MUSIC_VOLUME,음악 볼륨,Music Volume,音楽音量
CONFIG_SOUND_SFX_VOLUME,SFX 볼륨,SFX Volume,効果音音量
CONFIG_GAME_SETTINGS,게임 설정,Game Settings,ゲーム設定
CONFIG_JUDGE_TIMING,노트 판정 타이밍 조정,Note Timing Adjustment,ノート判定タイミング調整
UI_CREDITS,크레딧,Credits,クレジット
UI_EXIT_GAME_CONFIRM,게임을 종료하시겠습니까?,Exit the game?,ゲームを終了しますか？
CREDIT_DESIGN_DEVELOPMENT,디자인 및 개발,Design & Development,デザイン・開発
CREDIT_CHARACTER_ART,캐릭터 아트,Character Art,キャラクターアート
CREDIT_INSPIRED_BY,영감 및 참고한 게임들,Inspired By,参考作品
CREDIT_INSPIRED_TRIBUTE,해당 작품에 애정과 경의를 표합니다.,With love and respect for these works.,これらの作品への愛と敬意を込めて。
CREDIT_ORIGINAL_IP_RIGHTS,원작 및 IP 권리,Original IP & Rights,原作・IP権利
CREDIT_GAME_RIFT_OF_THE_NECRODANCER,Rift of the NecroDancer,Rift of the NecroDancer,Rift of the NecroDancer
CREDIT_GAME_DJMAX_RESPECT,DJMAX RESPECT,DJMAX RESPECT,DJMAX RESPECT
CREDIT_GAME_FRIDAY_NIGHT_FUNKIN,Friday Night Funkin',Friday Night Funkin',Friday Night Funkin'
CREDIT_GAME_RHYTHM_HEAVEN_MIRACLE_STARS,리듬 천국 미라클 스타즈,Rhythm Heaven Groove,リズム天国 ミラクルスターズ
CREDIT_GAME_STELLAR_SORA,스텔라 소라,STELLAR SORA,ステラソラ
CREDIT_GAME_GROOVE_COASTER_WAI_WAI_PARTY,그루브 코스터 와이와이 파티!!!!,Groove Coaster: Wai Wai Party!!!!,グルーヴコースター ワイワイパーティー!!!!
CREDIT_GAME_OSU,osu!,osu!,osu!
CREDIT_GAME_FTL,FTL: Faster Than Light,FTL: Faster Than Light,FTL: Faster Than Light
CREDIT_GAME_HOLOLIVE_DREAMS,홀로라이브 드림스,Hololive Dreams,ホロライブドリームス
CREDIT_FAN_CONTENT_NOTICE,이 게임은 밀리프로의 공식 작품이 아니며 팬이 제작한 팬 콘텐츠입니다.,This game is an unofficial fan-made work and is not an official MilliPro production.,本ゲームはミリプロの公式作品ではなく、ファンによって制作された非公式のファンコンテンツです。
